publications2	entries	PMID
Wang 2015 Birth Defects Res A Clin Mol Teratol epub	16800	26368655
Wang et al 2001 Am J Med Genet 102:11-17	3014	11471165
Wang et al 2003 J. Nat. Cancer Inst. 95: 669-674	3014	12734318
Wang et al 2013 Mol Vis 19:2590-2595	2833	24379646
Wang et al 2015 Comprehensive Molecular Diagnosis of a Large Chinese Leber Congenital Amaurosis Cohort.Invest Ophthalmol Vis Sci.  Jun	52183	26047050
Willemsen  et al 2013 J Med Genet 50:507 514	15943;42860;57922	23644463
Wimplinger et al 2006 Am J Hum Genet 79:878.	2986	17033964
Windpassinger et al. 2004	727;22039	14981520
Yu et al 2001 Blood 98:3840-3845	2870	11739194
"Zang et al 2014 AJHG 94, 547 558"	15569;39642;57030	24656866
Zhao et al. 2008	22138	18364116
Zivony-Elboum et al. 2012	428;942;4907;22120	22717650
Zuchner et al. 2006	865;22072	16826527
Zweier et al 2009 Am J Hum Genet 85: 655_666	15240;36288;56101	19896112
and many others	2889	None
and online publication GiM Open Feb 2024	86590;103463;103801;103929	None
de Carvalho Aguiar et al 2004 Neuron 43: 169-175	15181;35667;55972	15260953
de Vet et al 1998 J. Biol. Chem. 273: 10296-10301	2827	9553082
doi.org/10.1093/brain/awz264	15507;39046;56864	31504246
doi.org/10.1101/2020.05.01.073387	11312;59057	33396594
doi.org/10.1101/678219	5798;15332;23449;27968;37251;37252;56348	32347641
doi: 10.1038/ng.507	22330	20037589
doi: 10.1093/hmg/ddu021.	16858	24459294
doi: 10.1101/2024.06.19.24308302	63522	39148840
doi: 10.3389/fimmu.2024.1438383	76682;104171	39364398
doi: https://doi.org/10.1016/j.gimo.2024.101958	104744	39925707
doi: https://doi.org/10.1101/2020.04.01.20047381	46361	32425269
doi: https://doi.org/10.1101/2020.04.01.839274	64479	32504085
doi:10. 1007/ s12265-016-9673-5	64000;64124	26888179
doi:10.1001/archneurol.2011.250	1254	22084127
doi:10.7150/ijms.5270	16843	23289003
doi:10.​1007/​s12265-016-9673-5	1337;3378;3380;3398;3430;14761;14763;14783;14791;16603;22404;22435;32004;32007;54453;54600;54653;54655;54696;54707;54761;54796;56027;57786;57947;57952;58066;58081	26888179
evidence for a role in autoimmune disease if ZAP70 is disregulated 27571017 and 26903241	26943	27571017;26903241
"homozygous and compound heterozygous mutations in patients with Meckel syndrome. Multiple publications on HGMD of both missense and loss of function mutations in patients with nephronophthisis. Paper by Olbrich et al 2003 Mutations in a novel gene, NPHP3, cause adolescent nephronophthisis, tapeto-retinal degeneration and hepatic fibrosis.Nat Genet. 2003 Aug"	52223	12872122
http://dx.doi.org/10.1016/j.nmd.2015.06.091	10441;24578;34937	None
http://dx.doi.org/10.1371/journal.pgen.1002843	16859;16863	22912587
http://dx.doi.org/10.1371/journal.pone.0095453	16855	25093829
http://iembase.com/disorder/47	79179;85129;89675;91185;98780	None
http://igc.otago.ac.nz/home.html	19614;19615;19616;19618;19619;19620;19621;19623;19624;19625;19626;19627;19632;19633;19634;19635;19637;19645;19649;19650;19656;19661;19663;19664;19669;19671;19672;19675;19681;19687;19688;19690;19691;19694;19697;19699;19700;19701;19705;19706;19707;19710;19713;19715;19718;19720;19722;19723;19724;19725;19726;19727;19728;19729;19731;19735;19736;19739;19741;19743;19757;19760;19761;19772;19777;19778;19781;19782;19789;19793;19794;19795;19798;19799;19800;19801;19802;19803;19804;19805;19807;19812;19819;19826;19827;19828;19830;19832;19835;19836;19837;19841;33654;33655;76978	None
http://www.arvo.org/webs/am2015/abstract/304.pdf	10631	None
http://www.bloodjournal.org/content/130/Suppl_1/874	11778	None
http://www.cambridgestroke.com/genetictesting.php	16361	None
http://www.geneimprint.com/site/genes-by-species.Homo+sapiens	19686;19744;19758;19824;19829	None
http://www.ncbi.nlm.nih.gov/books/NBK1131/	1336;44474;54695;57077;58067;64123	20301310
http://www.ncbi.nlm.nih.gov/books/NBK1155/	137;151;153;169;174;177;180;184;187;189;208;328;550;678;684;784;850;858;884;906;920;921;924;15024;15039;15051;15053;15054;15056;15057;15061;15063;15064;15065;15073;15074;44866;44868;44884;44890;44894;44895	20301334
http://www.ncbi.nlm.nih.gov/books/NBK1408/	22952;23290;23402;23408;24056;24352;24613;24614;24615;24616;24867;24955;31858;31869;31872;31873;31887;31891;31902;31903;31904;31905;31910;31914;34730;34787;34803;34807;34889;34908;34944;34945;34946;34947;34974;34990	20301582
http://www.ncbi.nlm.nih.gov/books/NBK1414/	756;15083	20301587
http://www.ncbi.nlm.nih.gov/pubmed/22335739	22479;44498;54725;57334;58141;64153	22335739
http://www.ncbi.nlm.nih.gov/pubmed/22523091	44410;56310;64037	22523091
http://www.ncbi.nlm.nih.gov/pubmed/24209436	44844	24209436
http://www.ncbi.nlm.nih.gov/pubmed/25326098	44881	25326098
https://academic.oup.com/braincomms/advance-article/doi/10.1093/braincomms/fcad222/7243438?login=true	63440	37794925
https://dmdd.org.uk/mutants/Ehbp1l1	5647;17431;19406;23304;30841;36843;56255;69235	None
https://doi-org.ezproxy.library.qmul.ac.uk/10.1093/brain/awaa085	5805;23456;27974;37269	None
https://doi.org/10.1007/978-3-642-40337-8_10	6372;15463;23993;28278;38560;38561;56692	None
https://doi.org/10.1016/S2096-69112100044-3	91826;106286	None
https://doi.org/10.1016/j.ajhg.2022.01.020	87397	35240055
https://doi.org/10.1016/j.ejcped.2023.100023	9393	None
https://doi.org/10.1016/j.ejpn.2017.04.926	1742;20778	None
https://doi.org/10.1016/j.mgene.2017.07.006	65010;69886;81873;106228	None
